Workstream ID,Workstream Title,Task ID,Task Title,Rationale,Deliverables,Acceptance Criteria,Priority,Phase,Missing Features,Dependencies,Risks/Mitigations,Unnamed: 12
B,Terrain Pipeline,B3,Grid index/vertex generator,"Reusable indexed grid for any (W, H)","terrain/mesh.rs::make_grid; pos.xy world; uv [0,1]; u16/u32 indices",1024² grid ≤~40ms; CCW winding tests,High,MVP,No,B1,Index overflow → switch to u32 automatically,
B,Terrain Pipeline,B4,Height texture upload (R32Float),Upload DEM as single-channel float texture,Texture2D R32Float; COPY_DST; row alignment; linear clamp sampler,Validation clean across backends,High,MVP,No,B1,Alignment bugs → assert 256B stride,
B,Terrain Pipeline,B5,Colormap LUT texture,Map heights to colors via small LUT,256×1 RGBA8UnormSrgb; built-in palettes; uniforms h_min/h_max,CPU reference maps match expected colors,Medium,MVP,No,B2,sRGB mismatch → compare in linear space,
B,Terrain Pipeline,B6,Terrain WGSL (vertex),Reconstruct world Z in VS from height texture,VS uses uv→height; set @builtin(position)=proj*view*world,Compiles; coordinates consistent with camera,High,MVP,No,"D1,B3,B4",Coord mismatch → doc conventions,
B,Terrain Pipeline,B7,Terrain WGSL (fragment),Compute normals + shade,"Forward-diff normals using dx,dy; Lambert+ambient; LUT then tonemap",Sun from east lights east slopes; normal flips with sun_dir,High,MVP,No,"B4,B5,D2",Aliasing → sampleLevel 0 and clamp,
B,Terrain Pipeline,B8,Pipeline state & bindings,Create render pipeline & bind groups,BG0: Globals; BG1: height+sampler; BG2: colormap+sampler; MSAA=1,Validation layers clean; triangle sample still renders,High,MVP,No,"D1,B4,B5",Layout drift → freeze layouts,
B,Terrain Pipeline,B9,Scene integration,Hook terrain into render path,Scene with Layer::Terrain; per-frame update Globals; record draw,First DEM image produced,High,MVP,No,B6–B8,State lifetime → single encoder per frame,
C,Core Engine & Target,C1,Engine layout & error type,Create module structure and single error type,"src/context.rs; src/core/{framegraph.rs,gpu_types.rs}; src/error.rs; rewire lib.rs",Compiles; Renderer.info() uses new context; unit tests build,High,MVP,No,None,"API churn → keep small, cohesive error type",
C,Core Engine & Target,C2,Off-screen target & readback path (merged),Standardize target and readback,`core/target.rs` (Rgba8UnormSrgb) + row-padding helper,512×512 triangle identical pre/post; correct PNG round-trip,High,MVP,No,C1,Row padding errors → unit test synthetic rows,
C,Core Engine & Target,C3,Device diagnostics & feature gating (merged),Deterministic device info and safe limits,Renderer.report_device(); DeviceCaps (limits/MSAA),Reports match backend; MSAA off if unsupported,Medium,MVP,No,C1,Unknown adapters → print caps & guidance,
C,Core Engine & Target,C4,Color management & tonemap stub,Linear workflow w/ sRGB output + simple tonemap,WGSL reinhard + gamma 2.2; doc format choices,Shader compiles; CPU ref values match,Medium,MVP,No,C2,Gamma mismatch → unit tests on functions,
C,Core Engine & Target,C5,Frame graph with transient aliasing,Deterministic pass orchestration and VRAM reuse before scaling scenes,core/framegraph.rs (nodes/resources/edges); barrier planner; transient attachment aliasing; debug dumps,3-pass toy pipeline aliases at least 2 color targets; peak device memory reduced ≥20%; zero validation errors,High,Beyond MVP,No,"C1,C2,C3",Barrier ordering mistakes → validate with small graphs; add debug checks,
C,Core Engine & Target,C6,Multi-thread command recording (task-based),Reduce CPU encode time via parallel CB recording and merge,Thread-safe command buffer pools; task graph to record passes in parallel; merge & submit,≥1.3× faster encode on geometry-heavy scenes vs single-thread; identical output,High,Beyond MVP,No,"C1,C5",Race conditions → per-thread allocators; validation layers on in debug,
C,Core Engine & Target,C7,Async compute prepasses with timeline semaphores,Overlap compute (DEM normals/histogram) with graphics while staying deterministic,Compute pipelines for normals/histogram; timeline semaphores; queue detection & scheduler,"On supported adapters, compute overlaps ≥20% of its wall time (GPU timestamps); identical frames",High,Beyond MVP,No,"C5,C6",Not all devices expose async compute → detect and fall back to graphics queue,
C,Core Engine & Target,C8,Linear→tonemap→sRGB pipeline (full),Consistent colorimetry across backends; move beyond stub,post/tonemap.wgsl (Reinhard + gamma 2.2); Renderer.set_exposure(); full-screen triangle pass,No double-gamma; grayscale ramp matches reference within small Δ; cross-backend SSIM ≥0.98,High,Beyond MVP,No,C4,Gamma mismatches → lock Rgba8UnormSrgb target; add histogram checks,
D,Camera & Uniforms,D1,Camera math + uniform buffer,Provide view/proj and common globals,"core/camera.rs; Globals UBO (view,proj,sun_dir,exposure,spacing,h_range,exaggeration)",Known-case matrices pass unit tests,High,MVP,No,C1,Handedness confusion → decision doc,
D,Camera & Uniforms,D2,Sun direction & tonemap helpers,Basic lighting helpers,"set_sun(elev,azim); WGSL reinhard+gamma",Shader test vectors ~= CPU ref,Medium,MVP,No,D1,Precision diffs → epsilon bounds,
D,Camera & Uniforms,D3,"Light array uniforms (directional, point, spot)","Add a unified light struct + small fixed-size array to support directional, point, and spot lights per WebGPU Fundamentals.",WGSL/host struct Light { kind:u32; pad:u32; color:vec3<f32>; intensity:f32; position:vec3<f32>; range:f32; direction:vec3<f32>; cosInner:f32; cosOuter:f32; }; Globals gains lights[MAX_LIGHTS=8] and lightCount. Provide Python API: Renderer.set_lights(lights=[...]) with validation and default values. Respect WGSL alignment (16-byte) and update PyO3 packing.,"Set 1 directional, 1 point, 1 spot via Python → uniform buffer updates without validation errors. Dumped uniform bytes match expected layout; device validation layers clean.",High,Beyond MVP,No,"D1,D2",Low; test with goldens,
E,Docs & Examples,E1,Terrain example script,Show end-to-end DEM usage,examples/terrain_single_tile.py; README usage/perf notes,New dev reproduces in <10 minutes,Medium,MVP,No,B10,Doc drift → keep examples in CI,
E,Docs & Examples,E2,Basemap vectors example,Show polygons+lines+points together with terrain,python/examples/basemap.py; outputs PNG and metrics,Runs after build; produces expected PNG; metrics printed,High,Beyond MVP,No,"H2,B9",Dependency creep → synthetic data only,
E,Docs & Examples,E3,Graph snapshot example,"Demonstrate N≈50k, M≈100k graph snapshot",python/examples/graph_snapshot.py; deterministic seed; metrics,Runs <60 s on mid-range GPU; PNG saved,High,Beyond MVP,No,"H11,H13",Long runtimes → parameterized sizes,
E,Docs & Examples,E4,Turntable video helper (ffmpeg),Simple camera orbit video generation,vulkan_forge.video.turntable(); console_script entrypoint,Outputs MP4 when ffmpeg present; helpful error if missing,High,Beyond MVP,No,C4,External tool presence → clear install hints,
F,Wheels & Release,F1,Pin toolchains & metadata,Reproducible builds,rust-toolchain.toml; pyo3 abi3-py310; wgpu 0.19.x; requires-python>=3.10,`maturin develop --release` succeeds on all OSes,High,MVP,No,C1,Tool updates break ABI → nightly canary,
F,Wheels & Release,F10,Docs & badges,Make build status/docs obvious,Badges; instructions to install wheel artifacts,Badges render; steps copy-pasteable,Low,Beyond MVP,No,F3,Stale badges → update slugs,
F,Wheels & Release,F11,Size/perf budget for wheels,Keep wheel sizes reasonable,release profile LTO/thin; strip; print sizes,Typical wheel <10MB; warn if >30MB,Low,Beyond MVP,No,F3,Large deps → audit static links,
F,Wheels & Release,F2,Matrix design & caching,Define CI matrix and caches,Ubuntu/Win/macOS runners; rust/pip caches,Subsequent runs faster; caches used,Medium,MVP,No,F1,Cache poisoning → key by lockfiles,
F,Wheels & Release,F3,CI workflow skeleton,Build wheels + smoke test + artifacts,Actions YAML; import wheel; headless render; upload wheels,All jobs green; artifacts present,High,MVP,No,F2,Adapter issues → prefer software adapter,
F,Wheels & Release,F4,Fallback adapter option,Improve CI reliability on headless,force_fallback_adapter via env; Renderer.info() prints adapter,Linux uses Lavapipe/SwiftShader when needed,High,MVP,No,C1,False negatives → try HW then SW,
F,Wheels & Release,F5,Wheel compliance checks,Ensure wheel metadata/compliance,auditwheel/delocate; twine check,All checks pass,Medium,MVP,No,F3,Missing deps → fail early,
F,Wheels & Release,F6,sdist build & check,Source distribution works,maturin sdist; twine check; local install smoke,Local sdist install renders image,Medium,MVP,No,F3,Missing sources → verify tarball contents,
F,Wheels & Release,F7,TestPyPI publish (manual),Push wheels to TestPyPI,workflow_dispatch job; gh-action-pypi-publish,Install from TestPyPI succeeds,Low,Beyond MVP,No,"F5,F6",Creds/setup → use Trusted Publishing,
F,Wheels & Release,F8,Release pipeline to PyPI,Tag-based release,"release.yml on tags; rebuild, check, publish",Tagging publishes successfully,Medium,Beyond MVP,No,"F5,F6",Release mistakes → dry-run to TestPyPI first,
F,Wheels & Release,F9,Nightly canary build,Catch dependency regressions,cron nightly; build + smoke + determinism badge,Nightly job runs with notifications,Low,Beyond MVP,No,F3,Noise → badge + notifications only,
G,Perf & Diagnostics,G1,Synthetic DEM goldens,Deterministic small-input correctness,64×64 gradient + Gaussian goldens; SSIM tests,SSIM≥0.99 across backends,High,MVP,No,B10,Backend variance → tolerance via SSIM,
G,Perf & Diagnostics,G2,Timing harness,Track GPU encode/submit/map times,render_metrics() summary,1024²: render ≤~50ms; readback ≤~30–60ms on mainstream GPU,Medium,MVP,No,B10,CI noise → allow slack,
G,Perf & Diagnostics,G3,Tracy zones + adapter/limits overlay,Make performance issues visible early,Tracy integration (CPU + optional GPU); Renderer.report_environment() JSON,Tracy shows zones for encode/draw/readback; JSON includes adapter/backend/limits,High,Beyond MVP,No,"G2,C3",Overhead in debug only → compile-time flag,
G,Perf & Diagnostics,G4,GPU timestamp queries per pass,Attribute GPU time to each pass for regressions,Timestamp query pool; encode begin/end stamps around passes; metrics surfaced,Per-pass gpu_ms reported; stable within ±10% run-to-run,High,Beyond MVP,No,C5,Unsupported on some backends → feature gate & fall back to CPU,
G,Perf & Diagnostics,G5,Cross-backend SSIM CI gate,Ensure visual determinism within tolerance across Vulkan/Metal/DX12,CI job renders 3 scenes; compare to macOS goldens; upload diffs on failure,SSIM ≥0.98 across supported runners; artifacts available on failure,High,Beyond MVP,No,"E1,G1",Driver drift → keep tolerance & regenerate goldens script,
G,Perf & Diagnostics,G6,Bug template & env dump,Actionable bug reports from users,report_environment() JSON saved next to outputs; GitHub issue template requests it,All example scripts emit env.json; template present in repo,High,Beyond MVP,No,G3,Privacy concerns → only non-sensitive system/adapter info,
G,Perf & Diagnostics,G7,Golden image tests for light types + SSIM gate,"Ensure determinism and correctness for directional, point, and spot lights across backends.","Add tests that render 3 scenes (directional key, point near surface, spot with soft edges) at 256x256. Store goldens + metadata (adapter/backend). Integrate SSIM ≥ 0.99 (unit) and ≥ 0.98 (cross-backend) into CI.","CI green on macOS (Metal) and Linux (Vulkan). On Windows (DX12), SSIM ≥ 0.98. Artifacts upload diffs on failure; logs print light counts and parameters.",High,Beyond MVP,No,"C8,B16",Low; test with goldens,
H,Vector & Graph Layers,H1,Public API definition (vectors),Freeze Python surface for vectors/graphs,add_polygons/lines/points/graph signatures; doc planar CRS,API imports clean; signatures in help(),Medium,Beyond MVP,No,C3,CRS mistakes → assert planar inputs,
H,Vector & Graph Layers,H10,Line batching & perf logging,Scale to many segments,Instance buffer for p0/p1 + color/width; log counts/times,For 1e5 segments build/draw logged; AA stable,Medium,Beyond MVP,No,H8,Huge inst buffers → split batches,
H,Vector & Graph Layers,H11,Points (instanced),Render many points with screen-space sizing,Instanced quads; size/color per-instance; FS SDF disc; batching,1e6 points maintain offline perf headroom; goldens pass,Medium,Beyond MVP,No,H8,Tiny sizes vanish → clamp min px,
H,Vector & Graph Layers,H12,Graph packing,Efficient static packing for graph snapshot,Node positions + edge index; optional per-node size/color,1e5 nodes / 2e5 edges pack < few hundred ms,Low,Beyond MVP,No,"H11,H8",Memory spike → log footprint,
H,Vector & Graph Layers,H13,Graph pipelines,Separate pipelines for edges/nodes,Reuse lines/points; draw order edges→nodes,Goldens for small graph; proper layering,Low,Beyond MVP,No,"H11,H10",Overdraw artifacts → enforce order,
H,Vector & Graph Layers,H14,Vector goldens & metrics,Deterministic baselines for vectors,Tiny goldens polygons/lines/points/graph; SSIM≥0.99; log counts/times,CI passes on Linux/macOS; artifacts uploaded,Low,Beyond MVP,No,H5–H13,Backend variance → SSIM tolerances,
H,Vector & Graph Layers,H15,README usage (vectors),Explain vector usage & constraints,Examples; CRS/batching/AA notes,Build succeeds; examples render; badges OK,Low,Beyond MVP,No,F3,Misuse of CRS → explicit docs,
H,Vector & Graph Layers,H16,Weighted blended OIT (feature-flag),Handle translucent overlays without per-pixel linked lists,OIT pass with weighted blended equations; toggle via feature flag,Translucent polygons/lines composite correctly without sorting; perf measured,High,Beyond MVP,No,"H2,H5",Visual tuning needed → provide weight parameters,
H,Vector & Graph Layers,H17,Indirect draws + CPU frustum culling,Reduce driver overhead for very large vector/graph scenes,Build indirect draw buffers per batch; frustum cull on CPU; draw via vkCmdDrawIndexedIndirect (when on Vulkan),Draw call count reduced ≥30% on large scenes; frame time improved measurably,High,Beyond MVP,No,"H4,H10",Platform variation → fall back to direct draws where not supported,
H,Vector & Graph Layers,H18,"Graph snapshot scale test (N=100k, M=200k)",Validate scalability of nodes/edges pipelines,Synthetic generator; stress run; metrics capture for build/upload/draw,≤600 ms headless @1080p on mid-range GPU; metrics logged,High,Beyond MVP,No,"H11,H13",Memory spikes → batch by visibility & instance buffer size,
H,Vector & Graph Layers,H2,Layer base & render order,Deterministic draw ordering,Layer enum + stable sort; debug labels,Deterministic order across frames,Low,Beyond MVP,No,H1,Overdraw confusion → document order,
H,Vector & Graph Layers,H3,Packed data contracts,Reuse packed formats to limit Python overhead,Polygons/Lines/Points packed buffers; validation errors precise,No extra FFI copies; validations pass,Medium,Beyond MVP,No,H1,Corrupt offsets → strict checks,
H,Vector & Graph Layers,H4,Bounds/batching/visibility,Keep draw calls reasonable,Per-layer & per-path AABBs; batch ~100k verts/draw; optional coarse culling,Large inputs split across draws; memory logged,Medium,Beyond MVP,No,H3,Overly large draws → split batches,
H,Vector & Graph Layers,H5,Polygon fill hardening,Robust fill with alpha,Straight-alpha blending; optional per-feature color,Donut renders correctly; no halos,Medium,Beyond MVP,No,H3,Seams → straight-alpha & order,
H,Vector & Graph Layers,H6,Polygon outline refinement,Clean outlines for exteriors/holes,Reuse stroke mesh; world-space width with px clamp,1px-equiv outline visible at all zooms,Low,Beyond MVP,No,H5,Cracks on tight angles → bevel where needed,
H,Vector & Graph Layers,H7,Polyline packing & validation,Stable line input paths,"pack_lines(paths) → (coords, offsets); reject <2pt paths",Unit tests for simple/L-shape/degenerate,Medium,Beyond MVP,No,H3,Duplicate verts → dedup consecutive,
H,Vector & Graph Layers,H8,Instanced segment expansion (AA lines),AA screen-space width via shader path,VS-expanded quads; miters with limit; FS smoothstep AA,Uniform 2px regardless of zoom; joints correct ≥30°,High,Beyond MVP,No,"H7,D1",Gaps at joins → bevel fallback,
H,Vector & Graph Layers,H9,Caps & joins variants,Expose basic join/cap options,cap: butt/square/round; join: miter/bevel; round cap via SDF,Options switch behavior; visual goldens,Low,Beyond MVP,No,H8,Miter spikes → clamp miter length,
I,WebGPU Fundamentals (Uniforms/Storage/Instancing),I1,Single-struct uniforms,Add UBO example mirroring lesson,Uniform struct color/scale/offset; one BG per draw; aspect-correct scale,100 triangles render; deterministic PNG test,Low,Beyond MVP,Yes,C1,Bind churn → baseline for SSBO path,
I,WebGPU Fundamentals (Uniforms/Storage/Instancing),I2,Many-object per-object UBOs,Show per-object UBO + BG loop,100 objects; compare cost vs instancing,Functional parity; perf notes recorded,Low,Beyond MVP,Yes,I1,BG overhead → documented trade-offs,
I,WebGPU Fundamentals (Uniforms/Storage/Instancing),I3,Split uniforms across UBOs,Split static/dynamic UBOs,Update only dynamic per frame,Byte-accurate dynamic updates; frame time improves,Low,Beyond MVP,Yes,I2,Sync bugs → map/write fences,
I,WebGPU Fundamentals (Uniforms/Storage/Instancing),I4,Storage buffer parity with uniforms,Replace UBOs with SSBOs,read-only storage buffers; same structs,Visual parity; microbench logs,Low,Beyond MVP,Yes,I1,Layout mismatch → align to WGSL rules,
I,WebGPU Fundamentals (Uniforms/Storage/Instancing),I5,Instancing via AoS + instance_index,One draw with many instances,SSBO array-of-structs; instance_index drives per-instance params,100 instances via one draw; deterministic PNG,Medium,Beyond MVP,Yes,I4,Over/under indexing → bounds checks,
I,WebGPU Fundamentals (Uniforms/Storage/Instancing),I6,Split-buffers perf demo,Static vs dynamic SSBOs minimal-change demo,measure BG churn vs single BG,Perf deltas recorded,Low,Beyond MVP,Yes,I4,Noisy results → average over runs,
J,Presentation (Demo-only),J1,Canvas configure & presentation format,Tiny browser demo mirrors headless triangle,use getPreferredCanvasFormat(); present triangle,Demo runs; triangle parity,Low,Beyond MVP,Yes,None,Demo drift → tag as demo-only,
J,Presentation (Demo-only),J2,CSS-scaled canvas vs backing store,Document CSS vs width/height; keep backing store fixed for tests,notes + small demo page,Render correct with CSS scaling; headless unaffected,Low,Beyond MVP,Yes,J1,Confusion → explicit doc section,
K,Skybox & Depth,K1,Textured cube map (skybox),Add cube textures + sampler + view matrix removal for sky,Cube texture + sampler; VS/FS that ignore translation,Correct cube rendering; no seams; validated on headless,Low,Beyond MVP,Yes,"C4,D1",Edge seams → prefiltered mips,
K,Skybox & Depth,K2,Mip generation & sampling for cube,Generate mips and sample correctly,CPU or GPU-generated mips; sampling state verified,Mips visual parity checked,Low,Beyond MVP,Yes,K1,Wrong gamma → generate in linear,
K,Skybox & Depth,K3,ViewProjInv plumbing for skybox,Correct transform handling,add viewProjInv where needed; depth test config,Sky renders with depth settings,Low,Beyond MVP,Yes,K1,Matrix mistakes → unit tests,
K,Skybox & Depth,K4,Depth enablement & less-equal for sky,Depth test config for skybox draw,enable depth; set compare: less-equal,Sky remains visible; terrain still correct,Low,Beyond MVP,Yes,K1,Z-fighting → draw order & bias,
L,Textures & Samplers,L1,Textured quad baseline,Foundation for filtering/wrapping/mips,wgpu headless textured quad; queue.write_texture with padding; Python wrapper,Deterministic 512×512 PNG; validation clean,Low,Beyond MVP,Yes,C2,Stride bugs → assert bytes_per_row%256==0,
L,Textures & Samplers,L2,Palette arrays & runtime selection,Switch colormaps without pipeline rebuilds,1D palette texture array; uniform index selects palette,Runtime palette changes visible; no pipeline relink,High,Beyond MVP,No,B5,sRGB/linear confusion → document expectations,
L,Textures & Samplers,L3,Descriptor indexing (feature-gated),Avoid frequent rebinds for small texture/LUT sets,"If available, use descriptor indexing for palettes/materials; fallback to fixed bindings",Works on devices with the feature; graceful fallback elsewhere,High,Beyond MVP,No,"L2,C3",Feature availability → capability checks & code path split,
M,Interop & Memory,M1,Zero-copy NumPy interop (RGBA/height),Avoid extra copies across FFI,Borrowed PyArray for inputs/outputs; pointer-equality tests; docs,Pointer equality where possible; no extra memcpy in hot path,High,MVP,Yes,"C1,B10",Accidental copies → audit via profiler,
M,Interop & Memory,M2,Memory budget tracker ≤512 MiB,Enforce memory ceiling across textures/buffers,Resource registry that sums sizes; hard/soft limits; metrics,Fail fast when >512 MiB; metrics reported each render,High,MVP,Yes,"C1,B3–B5",Hidden allocations → conservative sizing,
M,Interop & Memory,M3,Staging upload ring (persistent mapped),Eliminate per-frame buffer creation and memcpy churn,Host-visible ring buffer with fences; suballocations for uploads; stats counters,No per-frame buffer creation in logs; smooth upload timings across 100 frames,High,Beyond MVP,No,M2,Ring wraparound bugs → add guard pages & asserts,
M,Interop & Memory,M4,Readback ring with row-padding helper,Deterministic offscreen readback at scale,Persistent readback buffer sized to padded rows; tested unpadding helper,512×512 and 4K readbacks return correct shapes/dtypes; SSIM vs PNG ≥0.99,High,Beyond MVP,No,C2,Stride mistakes → unit tests on synthetic stripes,
M,Interop & Memory,M5,Allocator policy: device-local vs host-visible with budget,Respect ≤512 MiB host-visible budget while maximizing device-local,VMA-backed allocations with tags; soft caps (host-visible ≤512MiB); JSON memory report,Host-visible stays ≤512MiB during stress test; device-local used for big geometry/DEM,High,Beyond MVP,No,"M2,M3",Fragmentation → defragment passes off-peak,
N,Advanced Rendering Systems,N1,PBR material pipeline,Implement Cook-Torrance BRDF with metallic/roughness workflow,shaders/pbr.wgsl with GGX distribution; material uniforms; Python API for materials,Metallic spheres match reference renderers within SSIM≥0.95; energy conservation validated,High,Beyond MVP,No,"C8,D1",Complex BRDF math → validate against reference implementations,
N,Advanced Rendering Systems,N2,Shadow mapping (cascaded),CSM with PCF filtering for large scenes,4-cascade shadow maps; PCF 3×3 kernel; bias uniforms; Python API,Shadows stable across cascade boundaries; no peter-panning; <10ms overhead @1080p,High,Beyond MVP,No,"B11,C5",Shadow acne → adaptive bias based on surface slope,
N,Advanced Rendering Systems,N3,HDR pipeline with tonemapping,ACES/Reinhard operators with exposure control,Rgba16Float internal format; ACES filmic curve; exposure/gamma controls,No banding; matches reference tonemapping within Δ<0.01; cross-backend consistent,High,Beyond MVP,No,C8,Precision loss → dither before quantization,
N,Advanced Rendering Systems,N4,Render bundles integration,Pre-encoded command sequences for static geometry,Bundle cache with invalidation; Python API for bundle hints; metrics,2-5× CPU encode speedup for static scenes; cache hit rate >90%,High,Beyond MVP,No,"C5,H4",Invalidation bugs → version tracking per bundle,
N,Advanced Rendering Systems,N5,Environment mapping/IBL,Cubemap support with roughness-based mip sampling,Cubemap loader; prefiltered env maps; BRDF LUT; irradiance probes,IBL matches reference within SSIM≥0.93; proper roughness→mip mapping,Medium,Beyond MVP,No,"N1,K1",Seam artifacts → seamless cubemap sampling,
O,Resource & Memory Management,O1,Staging buffer rings,Circular buffers for efficient CPU→GPU transfers,3-ring buffer with fences; automatic wrap; usage stats,Zero per-frame allocations; <2ms CPU overhead for 100MB transfers,High,Beyond MVP,No,M3,Fence stalls → triple buffering,
O,Resource & Memory Management,O2,GPU memory pools,Resource pooling with automatic lifetime management,Pool allocator with size buckets; reference counting; defrag strategy,50% reduction in allocation calls; <5% fragmentation after 1hr runtime,High,Beyond MVP,No,"M5,O1",Pool exhaustion → dynamic growth with limits,
O,Resource & Memory Management,O3,Compressed texture pipeline,BC/ETC/KTX2 support with format detection,Format detection; BC1-7 decoder; ETC2 support; KTX2 container loading,30-70% texture memory reduction; quality within PSNR>35dB of uncompressed,Medium,Beyond MVP,No,L1,Patent issues → use Basis Universal transcoder,
O,Resource & Memory Management,O4,Virtual texture streaming,Sparse texture support for massive datasets,Page table management; feedback buffer; tile cache; Python API,16k×16k terrain with <256MB resident; no visible popping,Low,Beyond MVP,No,"O3,B11",Complex implementation → start with simple tile streaming,
P,Testing & Validation,P1,Golden image framework,SSIM-based visual regression testing,pytest fixtures; SSIM computation; threshold config; baseline management,Detects 1px differences; SSIM≥0.98 cross-platform; regeneration script works,High,Beyond MVP,No,"G1,C8",Platform variance → per-backend baselines,
P,Testing & Validation,P2,Memory budget validation,Automated VRAM limit adherence testing,Memory tracking; stress tests; leak detection; CI integration,Detects leaks >1MB; validates ≤512MB host-visible; runs in CI,High,Beyond MVP,No,"M2,O2",False positives → proper cleanup between tests,
P,Testing & Validation,P3,Performance regression detection,Statistical analysis of frame times,Percentile tracking; k-means clustering; regression alerts; dashboard,Detects ≥5% regressions with 95% confidence; <1% false positive rate,Medium,Beyond MVP,No,"G4,P1",Noisy CI → dedicated perf runners,
P,Testing & Validation,P4,Cross-GPU test matrix,Comprehensive vendor/driver coverage,Test harness for NVIDIA/AMD/Intel/ARM; driver version tracking; skip lists,80% hardware coverage; graceful skips for unsupported features,Medium,Beyond MVP,No,"P1,F3",Expensive infrastructure → cloud GPU services,
Q,Production Features,Q1,Post-processing compute pipeline,"Bloom, DOF, SSAO effects",Compute shader framework; effect chain; temporal stability; Python API,60fps @1080p with 3 effects; matches reference quality,Medium,Beyond MVP,No,"C8,N3",Bandwidth limits → optimize render target formats,
